"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L1";"L_0201_0603Metric";1;"L";;;
2;",,,";"5ca960f4-6581-4d8d-93d4-aec265c8b1d9";4;"";;;
3;"DisplayRefrence,DisplayRefrence";"logo and phone refrence";2;"";;;
4;"R_top1";"R_0201_0603Metric";1;"110 kΩ";;;
5;"J2";"PinHeader_1x02_P1.00mm_Horizontal";1;"Conn_01x04_Pin";;;
6;"R17,R18";"R_0402_1005Metric";2;"nf";;;
7;"J8";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02";;;
8;"R_bottom1";"R_0201_0603Metric";1;"15 kΩ";;;
9;"U2";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm";1;"BQ24074RGT";;;
10;"R29";"R_0402_1005Metric";1;"12K 1%";;;
11;"J6";"PinHeader_1x05_P1.00mm_Horizontal";1;"Conn_01x05_Pin";;;
12;"R5,R7";"R_0201_0603Metric";2;"22 µF";;;
13;"D2";"D_0201_0603Metric";1;"D";;;
14;"J4,J15,J5";"Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal";3;"Conn_01x22_Female";;;
15;"C3";"C_0201_0603Metric";1;"0.1 µF";;;
16;"U5";"SOT-23-6";1;"MT3608";;;
17;"U18";"SOT-23-5";1;"RT9742GGJ5";;;
18;"C2";"C_0201_0603Metric";1;"2.2 nF";;;
19;"C5";"C_0805_2012Metric";1;"10u";;;
20;"U4";"InvenSense_QFN-24_4x4mm_P0.5mm";1;"MPU-9150";;;
21;"U1";"Raspberry-Pi-4-Compute-Module-Connector-Phone-Modified";1;"ComputeModule4";;;
22;"U3";"Broadcom_APDS-9301";1;"APDS-9301";;;
23;"J7";"SDCARD_MOLEX_503398-1892";1;"Micro_SD_Card_Det";;;
24;"MK2";"ST_HLGA-6_3.76x4.72mm_P1.65mm";1;"MP45DT02";;;
